record_date,Customs Duties,Total Receipts,value,value_5yravg,sd_5yravg,value_1yravg,sd_1yravg,zscore_5yravg,zscore_1yravg
2015-03-31,2626601267.8300004,234187337903.69,1.121581248303952,NA,NA,NA,NA,NA,NA
2015-04-30,3429774741.68,471801240790.52,0.7269533110877979,NA,NA,NA,NA,NA,NA
2015-05-31,2547830671.64,212385827417.69,1.1996236766916146,NA,NA,NA,NA,NA,NA
2015-06-30,2941109731.27,342933053360.78,0.8576337866667604,NA,NA,NA,NA,NA,NA
2015-07-31,3601679120.24,225493367467.68,1.5972439281418018,NA,NA,NA,NA,NA,NA
2015-08-31,1907511205.82,210836837205.87,0.9047333621104482,NA,NA,NA,NA,NA,NA
2015-09-30,3197759599.1,365472839746.24,0.8749650456434221,NA,NA,NA,NA,NA,NA
2015-10-31,3435496536.36,211046245388.74002,1.627840632763654,NA,NA,NA,NA,NA,NA
2015-11-30,2886781801.53,204967799934.62,1.4084074681246601,NA,NA,NA,NA,NA,NA
2015-12-31,2890670115.4900002,349630712796.4,0.82677808604684,NA,NA,NA,NA,NA,NA
2016-01-31,3047451737.73,313578981081.18,0.9718290834490175,NA,NA,NA,NA,NA,NA
2016-02-29,2539927134.65,169146855515.2,1.5016106134008238,NA,NA,1.1349333535358994,0.32414545948732926,NA,1.1312120812824702
2016-03-31,2873248637.65,227847826961.33,1.2610384202337133,NA,NA,1.1465547845300461,0.3261171826759216,NA,0.3510506093677225
2016-04-30,2797897377.52,438432344434.53,0.6381594362360742,NA,NA,1.139155294959069,0.33731829984349904,NA,-1.4852317794659675
2016-05-31,2427390775.19,224603431396.44,1.0807451872386997,NA,NA,1.1292487541713263,0.3371265786550691,NA,-0.1438734588240608
2016-06-30,2780686338.53,329572222744.1,0.8437259412754257,NA,NA,1.1280897670553818,0.3381675347960292,NA,-0.8408962910986545
2016-07-31,3059154606.44,209997664235.94998,1.4567564918259204,NA,NA,1.116382480695725,0.322518718265815,NA,1.0553620359165148
2016-08-31,2953148247,231326812093.57,1.276613039480038,NA,NA,1.1473724538098573,0.31817026621221917,NA,0.4061994453748776
2016-09-30,3145416008.4500003,356537365203.8,0.8822121649583774,NA,NA,1.147976380419437,0.3176125866736431,NA,-0.8367559303754565
2016-10-31,3069258551.44,221692068170.94998,1.3844692671066832,NA,NA,1.127695433281356,0.2908262040092498,NA,0.8829116162351051
2016-11-30,2896726552.64,199874954200.26,1.4492694015767942,NA,NA,1.1311005944023673,0.29462612971743357,NA,1.0799069569273176
2016-12-31,2846293875.9100003,319204134149.29004,0.8916845276755733,NA,NA,1.136509464538095,0.28907484290977165,NA,-0.8469257801826032
2017-01-31,2967107185.5,344069285128.22003,0.8623574709362055,NA,NA,1.1273868301620273,0.2963793531977579,NA,-0.8942234213224094
2017-02-28,2489856577.4100003,171712652492.69,1.4500134621797869,NA,NA,1.1230870675602744,0.2907780439481637,NA,1.1243159565300358
2017-03-31,2667178598.07,216583554428.19,1.231477895499367,NA,NA,1.1206236904990787,0.28962605301317035,NA,0.3827494241177515
2017-04-30,3009284843.75,455605376801.89,0.660502486795392,NA,NA,1.122485611379022,0.2862951307634833,NA,-1.6136604326857646
2017-05-31,2421280494.44,240417974932.52,1.0071129228667697,NA,NA,1.1163495893480277,0.28805471480549616,NA,-0.37922193550978045
2017-06-30,2871444272,338660487713.46,0.8478828727222301,NA,NA,1.1166960003019282,0.2876993364891498,NA,-0.9343543536112258
2017-07-31,3188220343.36,232040148453.61002,1.373995131707734,NA,NA,1.1097992202920792,0.2796866604892403,NA,0.9446139152775878
2017-08-31,2947230035.8100004,226310969292.5,1.302292171264927,NA,NA,1.11193914794082,0.28117329548452685,NA,0.6769953846295553
2017-09-30,3201268781.01,348722298760.6,0.9179994489562857,NA,NA,1.1149214216073124,0.27869403811466686,NA,-0.7065883934338217
2017-10-31,3239205174.82,235340650775.7,1.3763899964342508,NA,NA,1.1142481490512763,0.2779925392629866,NA,0.9429815925203046
2017-11-30,3100329508.62,208374262174.37997,1.4878658603361772,NA,NA,1.1174645206145584,0.282409307201496,NA,1.3115762486444593
2017-12-31,3106714454.4900002,325796890249.97003,0.9535740049901492,NA,NA,1.1226219770574397,0.2784485407576811,NA,-0.6071066905479096
2018-01-31,3188077417.64,361037590786.62,0.8830319886341734,NA,NA,1.1243448535322702,0.2767505634578912,NA,-0.87195076274818
2018-02-28,2674432730.52,155622717049.88998,1.7185362016668957,NA,NA,1.1467217484895293,0.31384626064384374,NA,1.8219571965086045
2018-03-31,3083614616.63,210832369513.94998,1.462590694085032,NA,NA,1.165981148371668,0.3263618628916484,NA,0.9088364157666234
2018-04-30,3447986150.19,510446668270.94,0.6754841131336062,NA,NA,1.167229617233186,0.3242743901565723,NA,-1.5164487823480168
2018-05-31,2968376062.71,217074937894.33,1.3674430090842533,NA,NA,1.1972571244179762,0.3247825725052593,NA,0.5239994355408994
2018-06-30,3509606217.59,316278194101.58,1.1096579792860488,NA,NA,1.2190717166316278,0.3075152085984723,NA,-0.3557994345848512
2018-07-31,4158946941.71,225266222812.1,1.8462363730309794,NA,NA,1.2584251534085649,0.35560084422856864,NA,1.6530085042334395
2018-08-31,4249193056.8500004,219115266127.7,1.9392501179600958,NA,NA,1.311504982299829,0.4066224810285838,NA,1.5438033186761728
2018-09-30,4572481490.03,343559344216.95,1.3309146052923482,NA,NA,1.3459145786611675,0.38730797561066815,NA,-0.03872880062737893
2018-10-31,5550559303.59,252691526878.81,2.1965751571290437,NA,NA,1.4142633420524005,0.45892346112431254,NA,1.7046672949778259
