date,USD,Total,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2010-04-01,11308612,22703286,0.4981046356020886,NA,NA,NA,NA,NA,NA
2010-07-01,11129305,22012573,0.5055885561401658,NA,NA,NA,NA,NA,NA
2010-10-01,11669757,23405947,0.49858085212275327,NA,NA,NA,NA,NA,NA
2011-01-01,11795564,23103160,0.510560633264021,NA,NA,NA,NA,NA,NA
2011-04-01,12300431.342,24018847,0.5121158123035631,NA,NA,NA,NA,NA,NA
2011-07-01,12051420,23984442,0.5024682250268737,NA,NA,NA,NA,NA,NA
2011-10-01,12280913,24175995,0.5079796302075674,NA,NA,NA,NA,NA,NA
2012-01-01,12086873,23102790,0.5231780663720702,NA,NA,0.507322051379888,0.008222340054871593,NA,1.9284066198147378
2012-04-01,11912860.079,23449419,0.5080236776442094,NA,NA,0.5085619316351531,0.007333691657202135,NA,-0.0733946852558289
2012-07-01,10849041.014,21891174.332,0.4955897225733171,NA,NA,0.507312077439297,0.008647224123406865,NA,-1.3556205666335173
2012-10-01,11012605.351,22052578.426,0.49937948924902736,NA,NA,0.5074119070800812,0.008535918458354386,NA,-0.9410138897463645
2013-01-01,10928720.723,21541797.674,0.5073263099202944,NA,NA,0.5070076166621154,0.008441551751811554,NA,0.037752923579556716
2013-04-01,10966960.522,21174544.934,0.5179313442713158,NA,NA,0.5077345581580844,0.009163788849205786,NA,1.1127260002411692
2013-07-01,11210709.111,21269480.845,0.5270795837800337,NA,NA,0.5108109780022295,0.011075107620987526,NA,1.468934328635769
2013-10-01,10935223.362,21036819.703,0.5198135229746994,NA,NA,0.512290214598121,0.011427599548644135,NA,0.6583454683158781
2014-01-01,11125430.552,21079707.282,0.5277791765875243,NA,NA,0.5128653533750528,0.012146995927653696,NA,1.2277787282795458
2014-04-01,11340368.404,21522153.571,0.5269160619353895,NA,NA,0.5152269014114502,0.012885273347087979,NA,0.9071721033051283
2014-07-01,11381164.045,21647371.043,0.525752712529971,NA,NA,0.518997275156032,0.010512985481879986,NA,0.6425803008653047
2014-10-01,11478476.932,21066268.92,0.5448746987703411,NA,NA,0.5246841763461962,0.010688557393261695,NA,1.8889847975998548
2015-01-01,11089857.739,20384644.5,0.5440299799685003,NA,NA,0.5292721351022219,0.01003057098930712,NA,1.4712866178815438
2015-04-01,11074381.011,19973021.23,0.5544669924230586,NA,NA,0.5338390911211898,0.012210049029468487,NA,1.6894200221542284
2015-07-01,10773651.092,19665771.009,0.5478377169687098,NA,NA,0.5364338577697743,0.012761578247408069,NA,0.893608845069901
2015-10-01,10710757.45,19496064.335,0.5493804937220935,NA,NA,0.5401297291131986,0.011477364614364,NA,0.8060007606029665
2016-01-01,10684996.639,19214969.976,0.5560766762761451,NA,NA,0.5436669165742762,0.011487786710162593,NA,1.080256799239722
2016-04-01,10841030.153,19753051.631,0.548828118081073,NA,NA,0.5464059235924866,0.00933361282662617,NA,0.25951306675980207
2016-07-01,11169417.196,20171529.113,0.553721888580158,NA,NA,0.54990207059876,0.004456105990239688,NA,0.8572098576121646
2016-10-01,11098635.197,20006752.342,0.5547444686312597,NA,NA,0.5511357918313748,0.004225703166157109,NA,0.8539825581659631
2017-01-01,10785102.544,19008384.871,0.5673865831943571,NA,NA,0.5540553672346069,0.006215191804311233,NA,2.144940394358037
2017-04-01,11104011.352,19764213.076,0.5618241064949749,NA,NA,0.5549750064935964,0.00680145202582361,NA,1.0070055593090985
2017-07-01,11222746.265,20184366.624,0.5560118122139001,NA,NA,0.5559967683992453,0.006159781220859553,NA,0.0024422644433922257
2017-10-01,11424647.414,20638095.212,0.5535708260206664,NA,NA,0.5565205599365668,0.005675959051071535,NA,-0.519689076217613
2018-01-01,11319594.078,20577834.901,0.5500867381072201,NA,NA,0.5557718176654513,0.006120547230032762,NA,-0.9288515135272853
2018-04-01,11474950.645,21584750.752,0.5316230322435738,NA,NA,0.5536211819357638,0.010420958893805943,NA,-2.1109525444213593
2018-07-01,11259112.665,21034493.979,0.5352690051037429,NA,NA,0.5513145715012119,0.012273102582104508,NA,-1.3073765407017097
2018-10-01,11014768.825,20761572.419,0.5305363487266412,NA,NA,0.5482885565131346,0.014147789037859538,NA,-1.2547690482935785
2019-01-01,11159148.277,20644919.276,0.5405275810389175,NA,NA,0.5449311812437047,0.011990722069374673,NA,-0.36725062755264004
2019-04-01,11341535.829,21322549.741,0.5319033589679926,NA,NA,0.5411910878028319,0.010548451127642095,NA,-0.8804827099687571
2019-07-01,11323700.524,21504588.89,0.526571355626599,NA,NA,0.5375110307294192,0.009744074277463828,NA,-1.1227002987981733
2019-10-01,11378840.209,21300429.7,0.5342070732497947,NA,NA,0.5350905616330602,0.00727774130710596,NA,-0.12139595871633124
2020-01-01,11417282.491,21154418.913,0.5397114682258538,0.5306839583785115,0.020389258846484962,0.5337936528978895,0.004686916752108599,0.4427581166786091,1.2626243735398004
2020-04-01,12824835.027,23092532.117,0.5553672053814643,0.5321155226229959,0.020050595322477584,0.5367616745401258,0.008815600404759148,1.1596504933897054,2.110523388888435
2020-07-01,12089599.253,22248372.106,0.5433925320648357,0.5330606220211126,0.019655227669543515,0.5377771154102624,0.009082911125966708,0.5256571034144165,0.6182397445814122
2020-10-01,12047852.345,22727363.938,0.5301033757309651,0.5338486851113179,0.01885289887995396,0.5377229937858029,0.009133369484263883,-0.198659601592364,-0.8342614484135161
2021-01-01,12400394.815,23399344.96,0.5299462372215055,0.534333325210255,0.018484463851073035,0.5364003258086264,0.0094305407762667,-0.23733920681150106,-0.6843816001902633
2021-04-01,12680924.019,23975010.913,0.5289225546138963,0.5347534937680133,0.01815456264231346,0.5360277252643644,0.009688943605103284,-0.3211831245400902,-0.733327691857525
2021-07-01,12717321.623,24224861.895,0.5249698296783624,0.5353160338843005,0.017464000404236603,0.5358275345208348,0.009925889054636107,-0.5924303691282687,-1.0938773124208014
2021-10-01,12966429.509,24251375.724,0.5346677919046041,0.5359832379267264,0.016893327386237614,0.535885124352686,0.009916476117839107,-0.07786778720655993,-0.12275857205887497
2022-01-01,12948498.682,23920724.039,0.5413088107571057,0.5364365065363523,0.016783819365376755,0.5360847921690924,0.010020065718719497,0.29029770368027213,0.5213557210761331
2022-04-01,13559163.676,25145670.347,0.5392245857393766,0.5372165292387315,0.016142247667369623,0.5340669647138314,0.006636326891865773,0.12439757721622628,0.7771800740959487
2022-07-01,13262012.491,24526259.865,0.5407270641344484,0.5383449627777599,0.014668047046737954,0.533733781222533,0.0061503596906812815,0.1624007169528571,1.137052670677333
2022-10-01,13195958.461,24106421.607,0.5474042840588239,0.5395455826480047,0.01329836717785936,0.5358963947635154,0.00756945077660394,0.5909523557074962,1.5203070387719204
2023-01-01,12738425.337,23930471.953,0.5323098249804082,0.5401701705245076,0.012295179863953926,0.5361918432333782,0.007346883547888232,-0.6393030139513189,-0.528389789720541
2023-04-01,13135513.314,24945165.336,0.5265755162201022,0.5403862748232273,0.0119658356158238,0.535898463434154,0.007716212057404146,-1.15418254491659,-1.20822848629541
2023-07-01,13038478.785,24790326.123,0.5259502727115455,0.540358042046515,0.011999322528177626,0.5360210188133019,0.007523209838524521,-1.20071523214217,-1.3386235819432508
2023-10-01,13280424.955,24850130.044,0.5344207427279248,0.5407232225403457,0.011572741948279635,0.535990137666217,0.007530061992178406,-0.5445969365417096,-0.20841726667353705
2024-01-01,13273770.594,25022872.992,0.5304654904432327,0.5407903803867383,0.011503286294049125,0.5346347226269829,0.0074108904352636505,-0.8975600258551275,-0.5625818139088274
2024-04-01,13601108.343,25481991.308,0.5337537470523338,0.540961322514662,0.01134149051243326,0.5339508677911025,0.0071755248129072675,-0.6355051352753677,-0.02747126431979909
2024-07-01,13625619.35,25192516.799,0.5408597901794735,0.5413389994558996,0.011070345894778904,0.5339674585467307,0.007193561248427221,-0.04328765162180648,0.958125105871553
2024-10-01,13944621.514,26127038.748,0.5337237659613242,0.5410602261356742,0.011119319984677002,0.5322573937845432,0.004756165898086616,-0.6597939608231429,0.30830972009848157
2025-01-01,13714774.726,24937598.992,0.5499637206613078,0.5412085696529944,0.011199249453925786,0.5344641307446556,0.00786403710115489,0.7817622997266523,1.9709456755202754
2025-04-01,14438388.813,26569355.128,0.5434226289438303,0.5409324605660136,0.010998334582546702,0.5365700198351216,0.007703875246312798,0.22641322275904746,0.8895015676673158
