date,value,value_10yravg,sd_10yravg,value_1yravg,sd_1yravg,zscore_10yravg,zscore_1yravg
2010-01-01,-0.22186,NA,NA,NA,NA,NA,NA
2010-02-01,-0.12265,NA,NA,NA,NA,NA,NA
2010-03-01,-0.43855,NA,NA,NA,NA,NA,NA
2010-04-01,-0.4002,NA,NA,NA,NA,NA,NA
2010-05-01,0.662275,NA,NA,NA,NA,NA,NA
2010-06-01,0.690075,NA,NA,NA,NA,NA,NA
2010-07-01,0.4807,NA,NA,NA,NA,NA,NA
2010-08-01,0.353325,NA,NA,NA,NA,NA,NA
2010-09-01,0.0785,NA,NA,NA,NA,NA,NA
2010-10-01,-0.10102,NA,NA,NA,NA,NA,NA
2010-11-01,-0.11159999999999999,NA,NA,NA,NA,NA,NA
2010-12-01,-0.22376,NA,NA,0.053769583333333336,0.3967676354988598,NA,0.6994763647604288
2011-01-01,-0.328175,NA,NA,0.044910000000000005,0.4045916250088139,NA,0.9221273425812323
2011-02-01,-0.33405,NA,NA,0.027293333333333333,0.41696395941557723,NA,0.8666056746002638
2011-03-01,-0.20350000000000001,NA,NA,0.04688083333333334,0.39818906970885837,NA,0.6287988605925393
2011-04-01,-0.43524,NA,NA,0.04396083333333333,0.4018770500800719,NA,1.1924065662317744
2011-05-01,-0.341925,NA,NA,-0.0397225,0.36420741612001556,NA,0.8297538342833102
2011-06-01,-0.17265,NA,NA,-0.11161625000000001,0.28318934483458397,NA,0.21552276282022864
2011-07-01,-0.288,NA,NA,-0.17567458333333333,0.2159943816026276,NA,0.5200386039360766
2011-08-01,0.737125,NA,NA,-0.14369125,0.30958573765543385,NA,-2.8451447946879926
2011-09-01,0.85746,NA,NA,-0.07877791666666666,0.4217546251535921,NA,-2.2198640176754747
2011-10-01,0.67885,NA,NA,-0.013788749999999997,0.4747696906401757,NA,-1.4588942041899333
2011-11-01,0.949725,NA,NA,0.07465500000000001,0.5480870031714441,NA,-1.5965895832897066
2011-12-01,0.67946,NA,NA,0.14992333333333333,0.5651344735601082,NA,-0.937010024058185
2012-01-01,0.44234999999999997,NA,NA,0.21413375,0.5494299784161639,NA,-0.4153691261220885
2012-02-01,0.14365,NA,NA,0.2539420833333333,0.5227594968854239,NA,0.21098054457250084
2012-03-01,-0.028540000000000003,NA,NA,0.26852208333333333,0.51115238418364906,NA,0.5811614941555346
2012-04-01,0.0759,NA,NA,0.3111170833333333,0.4665243389512508,NA,0.5041903791388518
2012-05-01,0.19265000000000002,NA,NA,0.35566499999999995,0.42188439086921775,NA,0.3863973247840161
2012-06-01,0.23249999999999998,NA,NA,0.38942750000000004,0.3908295179341452,NA,0.4015241756290331
2012-07-01,0.042899999999999994,NA,NA,0.4170025,0.3480169217378791,NA,1.0749549134905805
2012-08-01,-0.14642,NA,NA,0.34337375000000003,0.3670751397634909,NA,1.3343146864033821
2012-09-01,-0.369425,NA,NA,0.24113333333333334,0.38145009116130735,NA,1.6006244263162093
2012-10-01,-0.47755000000000003,NA,NA,0.14476666666666665,0.40609194352070593,NA,1.5324526294990035
2012-11-01,-0.38686,NA,NA,0.03338458333333333,0.3437513246219657,NA,1.2225249860360237
2012-12-01,-0.524625,NA,NA,-0.06695583333333334,0.3123165010983783,NA,1.4654018121268046
2013-01-01,-0.651375,NA,NA,-0.15809958333333335,0.30975425713897736,NA,1.592473405281881
2013-02-01,-0.6131,NA,NA,-0.22116208333333334,0.3196126518179206,NA,1.2262903687866176
2013-03-01,-0.6643,NA,NA,-0.27414208333333334,0.3370001484519388,NA,1.1577381151281865
2013-04-01,-0.626125,NA,NA,-0.3326441666666667,0.3316011691354083,NA,0.8850416121828911
2013-05-01,-0.60604,NA,NA,-0.3992016666666667,0.2946809059376641,NA,0.7019061268159916
2013-06-01,-0.097275,NA,NA,-0.42668291666666663,0.24088006950327276,NA,-1.3675183561095372
2013-07-01,-0.3844,NA,NA,-0.46229125000000004,0.1917193913714544,NA,-0.4062773694554793
2013-08-01,-0.32366,NA,NA,-0.47706125,0.17086563498477395,NA,-0.8977887801351616
2013-09-01,-0.362975,NA,NA,-0.47652374999999997,0.17124473731960083,NA,-0.6630787712213279
2013-10-01,-0.4659,NA,NA,-0.4755529166666667,0.17127141175310467,NA,-0.05636034973882179
2013-11-01,-0.58446,NA,NA,-0.49201958333333334,0.1714678255859514,NA,0.5391123165571909
2013-12-01,-0.569875,NA,NA,-0.4957904166666667,0.1727428698233609,NA,0.4288720189093125
2014-01-01,-0.55876,NA,NA,-0.48807249999999996,0.16713764083560265,NA,0.42292986574776786
2014-02-01,-0.5917250000000001,NA,NA,-0.48629125,0.1657925296064194,NA,0.6359378812199371
2014-03-01,-0.628875,NA,NA,-0.48333916666666665,0.1626198089079016,NA,0.894945297935729
2014-04-01,-0.639275,NA,NA,-0.484435,0.1637101108806217,NA,0.9458181853710318
2014-05-01,-0.7173,NA,NA,-0.4937066666666667,0.17404747811410193,NA,1.2846686189084005
2014-06-01,-0.815225,NA,NA,-0.5535358333333333,0.14662239477393085,NA,1.7847830617563643
2014-07-01,-0.729375,NA,NA,-0.58228375,0.14424554916916374,NA,1.0197281707978316
2014-08-01,-0.62212,NA,NA,-0.6071554166666667,0.11914546041896422,NA,0.1255992740362216
2014-09-01,-0.5226999999999999,NA,NA,-0.6204658333333334,0.09607510477919519,NA,-1.0175979881367183
2014-10-01,-0.29522,NA,NA,-0.6062425,0.12827573286940058,NA,-2.42464021091703
2014-11-01,-0.4141,NA,NA,-0.5920458333333334,0.13981384342359948,NA,-1.2727340081354026
