date,weighted_z_1,weighted_z_2,weighted_z_3,weighted_z_4,weighted_z_5,weighted_z_6,weighted_z_7,total_weighted_z
2020-05-01,NA,-0.15800986694401709,-0.1414376323918879,-0.1583740099560351,-0.15172415515487964,-0.15632936512358916,-0.1546729590013793,-0.9205479885717882
2020-06-01,NA,-0.08528464936077819,-0.06460592569444035,-0.058350883295448325,-0.060341407298138285,-0.15476438520557734,-0.12573660264163905,-0.5490838534960215
2020-07-01,NA,-0.0693890969643315,-4.600571721611658e-4,-0.006805340810479268,-0.015915804798622007,-0.1527116913235109,-0.10759379538476446,-0.3528757864538693
2020-08-01,NA,-0.05507008797058216,0.016909993774068693,0.007464117130133053,0.006006628648607662,-0.15022669007262773,-0.0918293082395263,-0.2667453467299268
2020-09-01,NA,-0.0371450681810668,0.035507149886018725,0.02428649143954592,0.010364851798293348,-0.147193947659065,-0.07982072941079993,-0.19400125212707373
2020-10-01,NA,-0.024457069258032416,0.05708410419169724,0.04383285107971416,0.024719853801837256,-0.1439013062692846,-0.07998791987674782,-0.12270948633081619
2020-11-01,NA,-0.010394321410748886,0.06736415231385355,0.05947120843207346,0.03750281076013334,-0.14045679564271707,-0.06869029846378626,-0.05520324401119186
2020-12-01,NA,0.005509938970476256,0.0906689970475976,0.092263628593519,0.05203886752900042,-0.13706184218882148,-0.05968650201630453,0.04373308793546726
2021-01-01,NA,0.015496626393416552,0.11617667303313313,0.11587066322686818,0.06815564418956105,-0.13394693947397565,0.05352222928462891,0.23527489665363216
2021-02-01,NA,0.039850980769614505,0.11107721978369295,0.09371005752962064,0.01696473851083969,-0.13052080233455757,0.07756293537173434,0.20864512963094456
2021-03-01,NA,0.08035124590302148,0.10153514925927329,0.09286566619325944,0.059057463268526185,-0.12731257714882865,0.13445114122594684,0.3409480887011986
2021-04-01,0.3542175242828523,0.06650510565457336,0.10133393344425293,0.10043337616291727,0.05550039882736897,-0.1245485480929521,0.10484252613406626,0.6582843164130789
2021-05-01,0.47851424639621853,0.09596890442125623,0.10915270716040312,0.11397277422624158,0.09585803106330698,-0.12178546670949364,0.08859720980938686,0.8602784063673197
2021-06-01,0.320599647923488,0.10741964033296039,0.12398708162934088,0.1269298834856071,0.10280440971715785,-0.1188662749430473,0.07538074925516906,0.7382551374006759
2021-07-01,0.07351667012411622,0.13681022792485584,0.11971680174149782,0.13859518582048863,0.12575246881658458,-0.11553396969816467,0.14392761045935357,0.622784995188732
2021-08-01,-0.0471985092105728,0.1540032947896644,0.11703446843191012,0.11519615528626018,0.0902312594787538,-0.11182215040577398,0.11728954559373411,0.43473406396397585
2021-09-01,0.067457907133579,0.15545090530735448,0.09981235390275875,0.11761886581458389,0.02849514414278488,-0.10737432208514802,0.098368882835001,0.459829737050914
2021-10-01,0.11582576313634714,0.162711489728454,0.1228694407178183,0.13753388320878165,0.09404742819682615,-0.1022889146330196,0.1450461979763097,0.6757452883315174
2021-11-01,-0.04193223128406903,0.15292780542536524,0.13270685121288311,0.1352323801959531,0.12028161945166715,-0.09629192403197136,0.1260878113550452,0.5290123123248734
2021-12-01,-0.6694889757010792,0.13956923365788532,0.14589308429021142,0.13375141480221042,0.1036533370326972,-0.0890353489686114,0.11906330920410824,-0.11659394568257804
2022-01-01,-0.9670193569839276,0.12897392931019813,0.13518530178810811,0.12499898436044783,0.06362559259889289,-0.07979525749575794,0.22266027559900925,-0.37137053082302934
2022-02-01,-0.585223227405848,0.12888006051086243,0.11419573426250595,0.1184121995002665,0.11834582038297298,-0.06652180357245858,0.16191648061682487,-0.00999473570487383
2022-03-01,-0.9385209730590478,0.1336938718352203,0.12819492093240642,0.13809867359596784,0.1492136016227866,-0.04620512648316963,0.12909559112383734,-0.30642944043199893
2022-04-01,-0.9615892966404437,0.1319544441206924,0.11963418083082472,0.12727734844264763,0.12854652428477933,-0.011428361911867118,0.18691244137175803,-0.2786927195016087
2022-05-01,-0.7490102272164096,0.11845245733512103,0.12126513740678826,0.12928770364972125,0.09659956858127464,0.0537537181810894,0.14509009646403404,-0.08456154559838103
2022-06-01,-1.0841030069181326,0.1153648959819359,0.1276490628494506,0.12242976008497287,0.06231390316668646,0.1442286171031446,0.11959532141097917,-0.3925214463209629
2022-07-01,-0.8871181127042564,0.11452044680872493,0.08962000401238143,0.08836199942815998,0.060065785312830355,0.1849355974873245,0.15866153627161542,-0.19095274338321983
