date,weighted_z_1,weighted_z_2,weighted_z_3,weighted_z_4,weighted_z_5,weighted_z_6,total_weighted_z
2010-01-01,NA,NA,NA,NA,NA,NA,0
2010-02-01,NA,NA,NA,NA,NA,NA,0
2010-03-01,NA,NA,NA,NA,NA,NA,0
2010-04-01,NA,NA,NA,NA,NA,NA,0
2010-05-01,NA,NA,NA,NA,NA,NA,0
2010-06-01,NA,NA,NA,NA,NA,NA,0
2010-07-01,NA,NA,NA,NA,NA,NA,0
2010-08-01,NA,NA,NA,NA,NA,NA,0
2010-09-01,NA,NA,NA,NA,NA,NA,0
2010-10-01,NA,NA,NA,NA,NA,NA,0
2010-11-01,NA,NA,NA,NA,NA,NA,0
2010-12-01,0.3497381823802144,0.14223180044375247,0.11606197367140803,-0.10982442127674488,0.0900933893108351,0.0900933893108351,0.6783943138403002
2011-01-01,0.46106367129061615,0.1852198348599553,0.12752197022635564,-0.24275207811380614,0.08090882175848127,0.08090882175848127,0.6928710417800835
2011-02-01,0.4333028373001319,0.14894070408499346,0.11324200173177093,-0.18980814466967888,0.16027213843487892,0.16027213843487892,0.8262216753169753
2011-03-01,0.31439943029626966,0.17677669529663684,0.1086200110118033,-0.16060689164357442,-0.11651477738639736,-0.11651477738639736,0.20615969018834066
2011-04-01,0.5962032831158872,0.09478044805408653,0.0772111384443433,-0.19884617420263556,-0.04575792370545257,-0.04575792370545257,0.47783284800077636
2011-05-01,0.4148769171416551,0.14244086590209976,0.06590090742527836,-0.15763691696541596,0.07710464418369752,0.07710464418369752,0.6197910618710123
2011-06-01,0.10776138141011432,0.024929278500464072,0.05885577329120191,-0.13047532151257388,0.011208794260444344,0.011208794260444344,0.08348870021009511
2011-07-01,0.2600193019680383,0.05289074098766814,0.08339862809561277,-0.11040219512602406,-0.18245094823696878,-0.18245094823696878,-0.07899542054864242
2011-08-01,-1.4225723973439963,0.07681324515319393,0.07456803838644455,-0.09458215017924959,-0.2387356041441606,-0.2387356041441606,-1.8432444722719286
2011-09-01,-1.1099320088377373,0.06397078946489462,0.08800008370998866,-0.08187783643637934,-0.14516753701521265,-0.14516753701521265,-1.3301740461296587
2011-10-01,-0.7294471020949667,0.11975769186947774,0.03603590671036546,-0.11218175325208582,-0.10948205144971293,-0.10948205144971293,-0.9047993596666352
2011-11-01,-0.7982947916448533,0.18663690238892655,0.021398024625545645,-0.10220438559136553,-0.05781099704642809,-0.05781099704642809,-0.8080862443146029
2011-12-01,-0.4685050120290925,0.22248595461287057,-0.003758230140014145,-0.10982442127674488,0.038106805579365285,0.038106805579365285,-0.2833880976742504
2012-01-01,-0.20768456306104424,0.21675783941623955,0.309770176898364,-0.09574271077563382,0.11201881158073211,0.11201881158073211,0.4471383656393897
2012-02-01,0.10549027228625042,0.16830120245596727,0.21132758030201995,-0.08660254037844388,0.12417784622298618,0.12417784622298618,0.6468722071117661
2012-03-01,0.2905807470777673,0.17661051828185514,0.16435862728049064,-0.09574271077563382,0.117824564437498,0.117824564437498,0.7714563107394753
2012-04-01,0.2520951895694259,0.1438631800820956,0.1338197664720989,0.21189886725394272,0.10663625181458472,0.10663625181458472,0.9549495070067325
2012-05-01,0.19319866239200806,0.10013468530541736,0.1122679775028691,0.17126976771553262,0.13163891650223983,0.13163891650223983,0.8401489259203068
2012-06-01,0.20076208781451654,0.10802020127379677,0.09513814661670553,0.14433756729740646,0.05201184879365144,0.05201184879365144,0.6522817005897282
2012-07-01,0.5374774567452902,0.09388345202485199,0.07869648158782822,-0.21408720964441882,0.03224240196083391,0.03224240196083391,0.5604549846352195
2012-08-01,0.6671573432016911,0.08135390156762945,0.06570937289992883,-0.16583123951777,0.04568220049145855,0.04568220049145855,0.7397537791343964
2012-09-01,0.8003122131581046,0.16120785498415122,0.05341793375663594,-0.13540064007726602,0.09644757516783037,0.09644757516783037,1.0724325121572864
2012-10-01,0.7662263147495018,0.17232808737106653,0.11723129887404482,-0.11560040577463718,0.1641220720816136,0.1641220720816136,1.2684294393832032
2012-11-01,0.6112624930180118,0.15689187111402025,0.1116053137912543,-0.09981867618808746,0.16450356862509388,0.16450356862509388,1.1089481389853866
2012-12-01,0.7327009060634023,0.06338978498293406,0.1657240193821785,-0.08660254037844388,-0.10325407311878616,-0.10325407311878616,0.6687040238124987
2013-01-01,0.7962367026409405,0.09485040136686697,0.28811808282387213,-0.15893651012075286,-0.0735632595527984,-0.0735632595527984,0.87314215760533
2013-02-01,0.6131451843933088,0.12530343347760514,0.20264937071594194,-0.1307340730240672,0.026957320812180732,0.026957320812180732,0.8642785571871501
2013-03-01,0.5788690575640932,0.17529150517219538,0.15927037098727323,-0.10982442127674488,0.04871881793861877,0.04871881793861877,0.9010441483240546
2013-04-01,0.44252080609144556,0.14286179431090287,0.15763718776133967,0.08091735937126963,-0.011949898739660927,-0.011949898739660927,0.8000373500556359
2013-05-01,0.3509530634079958,0.18156640894248355,0.13014574928843806,0.10181376927364467,0.1717596029873611,0.1717596029873611,1.1079981968872843
2013-06-01,-0.6837591780547686,0.052545638988472754,0.10975253274413706,0.13540064007726602,0.13391210039041127,0.13391210039041127,-0.11823616546407024
2013-07-01,-0.20313868472773966,0.17967361713855579,0.139424315013391,0.060906383195322746,0.13247098760138812,0.13247098760138812,0.4418076058223061
2013-08-01,-0.4488943900675808,0.18411781844564265,0.11988566220645057,0.05455447255899685,0.05261066767084931,0.05261066767084931,0.014884898485207888
2013-09-01,-0.33153938561066393,0.14872715116661625,0.10663794137567549,0.04855041562276123,-0.054947707346813805,-0.054947707346813805,-0.13751929213923858
