date,payment_value,gdp_value,value,value_10yravg,sd_10yravg,value_1yravg,sd_1yravg,zscore_10yravg,zscore_1yravg
2010-01-01,360.258,16582.71,0.021724917097386373,NA,NA,NA,NA,NA,NA
2010-04-01,376.93,16743.162,0.022512474047614184,NA,NA,NA,NA,NA,NA
2010-07-01,389.247,16872.266,0.02307022660738042,NA,NA,0.022435872584126992,6.759180849602931e-4,NA,-0.9385072501658132
2010-10-01,399.514,16960.864,0.023555050025753404,NA,NA,0.02304591689358267,5.217129375307209e-4,NA,-0.9758874958717204
2011-01-01,410.805,16920.632,0.0242783484683078,NA,NA,0.023634541700480544,6.079710539786028e-4,NA,-1.0589431250289676
2011-04-01,424.987,17035.114,0.024947705075528112,NA,NA,0.024260367856529772,6.96501614295102e-4,NA,-0.9868422483039945
2011-07-01,432.625,17031.313,0.025401740899248345,NA,NA,0.024875931481028086,5.651249641665259e-4,NA,-0.9304303500301897
2011-10-01,433.35,17222.583,0.025161730966835813,NA,NA,0.02517039231387076,2.271417982333335e-4,NA,0.03813189427182643
2012-01-01,428.343,17367.01,0.02466417650476392,NA,NA,0.025075882790282694,3.7620172921707236e-4,NA,1.0943763772048327
2012-04-01,424.345,17444.525,0.02432539722348416,NA,NA,0.024717101565027964,4.20671283866764e-4,NA,0.9311411464631012
2012-07-01,420.974,17469.65,0.024097449004416228,NA,NA,0.0243623409108881,2.851642367861657e-4,NA,0.9289099834440524
2012-10-01,416.834,17489.852,0.02383290607604913,NA,NA,0.02408525076798317,2.464720680006678e-4,NA,1.023826732095889
2013-01-01,411.052,17662.4,0.023272714919829695,NA,NA,0.023734356666765016,4.2110636081919037e-4,NA,1.096259258675828
2013-04-01,412.508,17709.671,0.02329280990030814,NA,NA,0.023466143632062324,3.1778447067075106e-4,NA,0.5454443113230971
2013-07-01,416.742,17860.45,0.02333323068567701,NA,NA,0.023299585168604947,3.082154561977889e-5,NA,-1.0916232912885924
2013-10-01,425.001,18016.147,0.023590005121516825,NA,NA,0.023405348569167327,1.6118930397722268e-4,NA,-1.145588123983656
2014-01-01,431.952,17953.974,0.024058851817430504,NA,NA,0.02366069587487478,3.679393885812463e-4,NA,-1.0821237272013529
2014-04-01,440.027,18185.911,0.024196038350787045,NA,NA,0.023948298429911457,3.177823270162691e-4,NA,-0.77958998916546
2014-07-01,442.107,18406.941,0.024018493893146073,NA,NA,0.02409112802045454,9.30689183938082e-5,NA,0.7804337749056738
2014-10-01,442.283,18500.031,0.02390714912856092,NA,NA,0.024040560457498014,1.4570327939455367e-4,NA,0.9156371050223572
2015-01-01,428.689,18666.621,0.022965538326406264,NA,NA,0.023630393782704418,5.78466937237732e-4,NA,1.1493404609655666
2015-04-01,425.877,18782.243,0.022674448413855578,NA,NA,0.02318237862294092,6.443233261800279e-4,NA,0.7883157235617824
2015-07-01,427.881,18857.418,0.02269032801839573,NA,NA,0.02277677158621919,1.636694904700583e-4,NA,0.5281593263056831
2015-10-01,434.682,18892.206,0.023008535900995365,NA,NA,0.022791104111082223,1.884687717069122e-4,NA,-1.1536754229569162
2016-01-01,446.225,19001.69,0.023483437525820074,NA,NA,0.023060767148403726,3.9912623328478036e-4,NA,-1.058989217365647
2016-04-01,453.291,19062.709,0.02377893928926891,NA,NA,0.023423637572028116,3.8866742984327836e-4,NA,-0.9141535666728262
2016-07-01,457.514,19197.938,0.023831413561185583,NA,NA,0.023697930125424857,1.875998234732887e-4,NA,-0.7115328430985026
2016-10-01,460.184,19304.352,0.0238383552061214,NA,NA,0.02381623601885863,3.248586057302964e-5,NA,-0.6808866033591411
2017-01-01,460.669,19398.343,0.023747853102710884,NA,NA,0.02380587395667262,5.036726346984467e-5,NA,1.1519556546182945
2017-04-01,471.214,19506.949,0.0241562122298059,0.02371388257961966,7.997008173784645e-4,0.023914140179546062,2.1446868260467135e-4,-0.553118917192383,-1.128705819982338
2017-07-01,481.457,19660.766,0.02448821170039865,0.02380599239972007,7.176397100832011e-4,0.024130759010971812,3.708350213427951e-4,-0.9506431863970933,-0.9639129770767121
2017-10-01,493.441,19882.352,0.024818039636356905,0.023882844586011493,6.975093121854485e-4,0.024487487855520487,3.3091429703030814e-4,-1.3407635339164747,-0.9989045012646983
2018-01-01,507.619,20044.077,0.025325137196389735,0.023958008272311804,7.277606318200586e-4,0.024877129511048434,4.215801008447571e-4,-1.8785420154685675,-1.0626869827195091
2018-04-01,531.778,20150.476,0.026390344327349886,0.02405251808236502,8.478238022434718e-4,0.025511173720032174,8.024915584766963e-4,-2.757443514558827,-1.0955512217306924
2018-07-01,551.891,20276.154,0.0272187220515291,0.02415053053513906,0.0010260571633944442,0.026311401191756244,9.492575598310033e-4,-2.9902734719376873,-0.9558215790605739
2018-10-01,571.229,20304.874,0.028132605009023943,0.024256693866255594,0.0012514035713818037,0.027247223795967643,8.71479966954988e-4,-3.0972511437605657,-1.015951308840619
2019-01-01,579.714,20431.641,0.028373345048496108,0.024355747337897183,0.0014474192562399972,0.02790822403634972,6.091376543565023e-4,-2.7756972924593764,-0.7635729113442254
2019-04-01,586.409,20602.275,0.028463312910831446,0.024465800069363705,0.0016253889700138357,0.028323087656117168,1.7098620761929457e-4,-2.459419200705978,-0.8200968760386426
2019-07-01,578.256,20843.322,0.027742986458684463,0.024568427067827723,0.001732045016210921,0.028193214806004008,3.924955128544309e-4,-1.8328388472266794,1.1470917056993877
2019-10-01,564.241,20985.448,0.026887250631961727,0.02465382218144364,0.001782080609468924,0.027697850000492547,7.890000327075948e-4,-1.2532701599753497,1.0273755829250124
2020-01-01,544.125,20693.238,0.026294821525756382,0.02472706793215498,0.0018034536522319121,0.026975019538800857,7.280610922144169e-4,-0.8693062844510515,0.9342595289299626
