date,value,value_2yravg,sd_2yravg,zscore_2yravg
2020-07-01,43.1,NA,NA,NA
2020-10-01,53.833333333333336,NA,NA,NA
2021-01-01,57.4,NA,NA,NA
2021-04-01,60.03333333333333,NA,NA,NA
2021-07-01,61.96666666666667,NA,NA,NA
2021-10-01,60.166666666666664,NA,NA,NA
2022-01-01,60.63333333333333,NA,NA,NA
2022-04-01,58.266666666666666,56.925,6.118531569864502,0.21927919327486292
2022-07-01,56.333333333333336,58.579166666666666,2.6561063219778664,-0.845535931581599
2022-10-01,52.9,58.4625,2.9033334700125715,-1.9159011727219588
2023-01-01,50,57.537499999999994,4.185782341393758,-1.8007386398142717
2023-04-01,47.833333333333336,56.012499999999996,5.236985001387907,-1.5618083046827544
2023-07-01,46.7,54.104166666666664,5.53067743202791,-1.3387449833522125
2023-10-01,46.833333333333336,52.4375,5.451181246677363,-1.0280646364643535
2024-01-01,47.36666666666667,50.77916666666667,4.5442074587953645,-0.7509560315946996
2024-04-01,47.93333333333334,49.4875,3.4483461644448146,-0.45069914461934
2024-07-01,49.03333333333333,48.574999999999996,2.067338600444756,0.22170211170764786
2024-10-01,47.6,47.9125,1.1116893336733837,-0.28110371354144253
2025-01-01,47.6,47.6125,0.7241716669233902,-0.01726110060767968
2025-04-01,50.13333333333333,47.9,1.153600299407749,1.935968059716969
2025-07-01,48.733333333333334,48.15416666666667,1.0725932822866022,0.5399685754435944
2025-10-01,49,48.425,0.9589594228136938,0.5996082694645085
