date,value,value_2yravg,sd_2yravg,zscore_2yravg
2017-01-01,1.2418077321196836,1.1261265256935833,0.15721099179967193,0.7358340857839545
2017-04-01,1.1812829428717864,1.1335892375145626,0.15837708432095987,0.3011401905882407
2017-07-01,0.8384994274614639,1.122392883678655,0.17704728354308805,-1.6034894777027169
2017-10-01,1.1980955839763154,1.1314489010133748,0.1790787533585601,0.37216409938647177
2018-01-01,1.2726099539201923,1.1295657207977674,0.1772712826724124,0.806922762480163
2018-04-01,1.3547196281287004,1.1433024194353734,0.19119007727332474,1.105795926799515
2018-07-01,1.0508617005013028,1.167883858466778,0.15857062904089272,-0.7379812937192615
2018-10-01,1.7054670320944745,1.23041800013424,0.24851903900322783,1.9115196721570473
2019-01-01,2.3882908073505402,1.373728384538097,0.4793699392658213,2.1164498223778816
2019-04-01,2.413548878023092,1.5277616264320102,0.5931694848726347,1.4933122390496505
2019-07-01,1.5942909746048448,1.6222355698249329,0.5238445014485806,-0.05334521054017602
2019-10-01,2.491797208717788,1.783948272917617,0.5717049890323562,1.2381367127795162
2020-01-01,2.720681056909154,1.9649571607912373,0.6143305129054685,1.2301584900019538
2020-04-01,2.4121040636353492,2.0971302152295683,0.5768890249189339,0.5459868966133338
2020-07-01,1.921902550050676,2.20601032142324,0.4089698799663477,-0.6946911870281061
2020-10-01,1.717343083634613,2.2074948278657573,0.40690978181527887,-1.2045710526901365
2021-01-01,2.351317821383182,2.2028732046198374,0.40476730278267614,0.3667406328100714
2021-04-01,2.1392406628701552,2.1685846777257205,0.39589234146361413,-0.07412119857403764
2021-07-01,1.5339288622858478,2.1610394136858457,0.4087672269430034,-1.5341507588313565
2021-10-01,2.4282917606122996,2.1531012326726597,0.4019867625716105,0.6845760944444458
2022-01-01,2.3993591635934384,2.1129359960081953,0.349845607324591,0.8187130596711943
2022-04-01,2.40300172220944,2.1117982033299567,0.3487467109935323,0.8350000435843071
2022-07-01,1.652390862744332,2.0781092424166636,0.3812170464918709,-1.1167348983734642
2022-10-01,2.581113073959204,2.1860804912072376,0.3867231132870223,1.021486870526864
2023-01-01,2.2824180143344766,2.1774680153261494,0.3832693028602824,0.27382834530472633
2023-04-01,1.9716041317075865,2.156513448930828,0.39017823159701975,-0.47390987566476483
2023-07-01,1.5383544996040381,2.157066653595602,0.3891712509032007,-1.5898197838500083
2023-10-01,2.0549258658598246,2.1103959167515427,0.37409400234422757,-0.1482783753391389
2024-01-01,1.7800024097485323,2.032976322520929,0.3698134705510595,-0.6840581344845015
2024-04-01,1.8242727074258671,1.9606351956729826,0.3427007262648513,-0.39790545451523124
2024-07-01,1.2635749338205793,1.9120332045575137,0.4130181120250579,-1.5700480241834827
2024-10-01,1.9440064836239883,1.8323948807656116,0.3154824070326522,0.35378075090832234
2025-01-01,1.98567468171766,1.7953019641885097,0.26903819298196424,0.7076048029430249
2025-04-01,2.032248579670802,1.8028825201839116,0.27549238274768995,0.8325677000549074
2025-07-01,4.2901456963509945,2.146856419777281,0.902475251397677,2.374900888699573
