date,series_id,value,value_10yravg,sd_10yravg,value_2yravg,sd_2yravg,zscore_10yravg,zscore_2yravg
2022-07-01,STLFSI4,-0.0044,-0.2321,0.4306194167142049,-0.4081875,0.3049980160942503,-0.52877318384164,-1.3239020540881872
2022-10-01,STLFSI4,-0.095,-0.2306375,0.43099238775328974,-0.4148375,0.2963249564606879,-0.3147097346824652,-1.0793471593487989
2023-01-01,STLFSI4,-0.1024,-0.2218475,0.42990418072981607,-0.4004375,0.30977296726796544,-0.27784679785440314,-0.9621159090431096
2023-04-01,STLFSI4,-0.2221,-0.21136749999999999,0.42449224654663026,-0.362475,0.3108224883847922,0.02528314730672247,-0.4516243362231193
2023-07-01,STLFSI4,-0.4809,-0.212105,0.4249453490955616,-0.3249375,0.2682471351864066,0.6325401620987113,0.5814134786253009
2023-10-01,STLFSI4,-0.6899,-0.22059,0.4311231163320953,-0.3212875,0.2622492404319655,1.088575356368711,1.40558081080745
2024-01-01,STLFSI4,-0.5236,-0.22019,0.4308268673620827,-0.30498749999999997,0.24187655315115955,0.7042504146915309,0.9038184857189493
2024-04-01,STLFSI4,-0.7634,-0.2245975,0.4355526083138228,-0.3602125,0.2915469843904115,1.2370549268110085,1.3829246110811777
2024-07-01,STLFSI4,-0.8244,-0.2272025,0.4388915720822989,-0.46271249999999997,0.2927248851615748,1.3606948458058254,1.2355884939552033
2024-10-01,STLFSI4,-0.5255,-0.2248175,0.43695223049800247,-0.516525,0.2522409604779865,0.6881358624884615,0.03558105702972543
2025-01-01,STLFSI4,-0.5556,-0.2312675,0.43994808807257924,-0.573175,0.18888094322690607,0.737206294999273,-0.09304803173757367
2025-04-01,STLFSI4,-0.6675,-0.24475,0.4449437665420377,-0.62885,0.12568553729731313,0.9501200641273825,0.30751350418761514
2025-07-01,STLFSI4,-0.425,-0.24797249999999998,0.44579117566555987,-0.6218625,0.13619995738933674,0.39710857832863217,-1.445393256895487
2025-10-01,STLFSI4,NA,NA,NA,NA,NA,NA,NA
