date,weighted_z_1,weighted_z_2,weighted_z_3,weighted_z_4,weighted_z_5,weighted_z_6,total_weighted_z
2012-01-01,-0.8336089270227159,0.1569142855933005,0.06817207565488835,-0.12455442055977617,-0.09486459042690552,-0.06048066254304028,-0.888422239304249
2012-04-01,-0.03135529991515589,0.18765526116104536,0.14679854981239682,-0.1011037220720505,0.10745384092852978,-0.0807908714256664,0.22865775848909917
2012-07-01,-0.04972416094723834,0.15136751745536245,0.1361229305704818,-0.01870828693386971,0.11017813902828011,-4.6575880850294453e-4,0.3287703803645134
2012-10-01,0.30700537257315524,0.12841489249843485,0.11636555567493455,-0.1414075015856733,0.06978610857555244,-0.026795367792792704,0.4533690599436111
2013-01-01,0.5903506768425784,0.13235321152479282,0.13561007463100413,-0.13435028842544403,0.113830211601186,0.12013486612792089,0.9579287523020382
2013-04-01,0.672514026944372,0.11591691932902717,0.1785939991547485,-0.17500000000000002,0.06357522954528454,0.028905229002546298,0.8845054039759785
2013-07-01,0.44144361017592276,0.12342320247051604,0.1490253325796784,0.03250789573356225,0.10769042143230696,0.051569087539860996,0.9056595499318474
2013-10-01,0.2517351893227951,0.1632572091728013,0.14223193720610466,-0.006914781822318997,0.09737299464854161,-0.0019002380006414602,0.6457823105272822
2014-01-01,0.4126752659851016,0.17248188310660342,0.18663701091185453,0,-0.03711673557628754,-0.03914084524260509,0.6955365791846669
2014-04-01,0.3933081641061342,0.16150253361009584,0.15125966446839567,0.056407607481776624,0.08809896332744477,-0.19961821202579963,0.6509587209680474
2014-07-01,0.6524383582396376,0.1677349315975072,0.17242741995673505,-0.17286954555797496,0.12019922393835628,0.0716439651992708,1.011574353373532
2014-10-01,0.311185531737178,0.14479415228058587,0.174338493879901,0.120761472884912,0.10611552868362098,0.052699217755224126,0.909894397221422
2015-01-01,-0.7740594027824935,0.13831200154327938,0.1749470224472856,0.09520304654623502,0.1985719259147895,-0.09543389898852662,-0.2624593053194306
2015-04-01,-0.8583084611508003,0.12845819963834912,0.15499663134683295,0.19298262323563123,0.19622040893229142,0.038765833910837044,-0.14688476408685852
2015-07-01,-0.3603431229984308,0.12570202727534602,0.14064397632556688,0.1011867780144413,0.12778279320975933,-0.19301123826879796,-0.05803878644211523
2015-10-01,-0.8455021587619364,0.14301047168815587,0.13298249494173472,0.10116669893583763,0.0589872251010998,0.03556404722611183,-0.3737912208689965
2016-01-01,-0.7319928482131327,0.12881893378588477,0.11501870421492447,0.1601257128085275,0.04991470851590479,0.05222703769716944,-0.22588775119072174
2016-04-01,-0.8358596049733383,0.12239070635807954,0.12660905262585123,0.1323532115247928,0.037120990266442964,-0.08156009393959733,-0.49894573813776916
2016-07-01,-0.30421294953595346,0.10028694463571926,0.1264386297458888,0.1,0.03567368884576973,-0.18068738434671086,-0.12250107065528654
2016-10-01,-0.3306373738064615,0.08367748183335512,0.14160068360227285,0.11781493628590133,-0.084793630238872,-0.03222798876204686,-0.1045658910858511
2017-01-01,0.17190598752963934,0.11400229125385289,0.13889718188990272,0.13944333775567927,0.03975129032548874,0.07575997088679037,0.6797600596413533
2017-04-01,0.6171469551113986,0.16661569964113987,0.15399532184376885,0.15380559082493933,0.20397730651480284,-0.09497641182101246,1.200564462115037
2017-07-01,0.9028450437964838,0.18064112341771255,0.1445039193549292,0.15342041219547284,0.13621894141418084,0.1372687511692495,1.6548981913480287
2017-10-01,0.7085631993045549,0.15170322716504803,0.14547521888155618,0.09192388155425119,0.06630275137967359,0.006697859315862974,1.1706661376009468
2018-01-01,0.6279679274227137,0.13368662691638947,0.16795740158910066,-0.10606601717798213,0.14126206683780693,-0.024173584782003224,0.9406344208060253
2018-04-01,0.02807182063592755,0.13689367605010133,0.15817929486845642,0.04751456184988198,0.12001585367965253,-0.04606639707672519,0.44460881000729463
2018-07-01,-0.24783696356987328,0.12498987813270142,0.14319967162328745,0.029671369091047457,0.07806628218459964,-0.09701785737246121,0.031072380089301473
2018-10-01,0.3675278828663919,0.12497066148529817,0.12872365824443258,0.10246950765959598,0.05848247005742552,0.061145180600356445,0.8433193609135006
2019-01-01,-0.6206536409115575,0.10964651259195278,0.11412330855251124,0.10465994316692373,0.04257157469085411,-0.12632548538014285,-0.3759777872894585
2019-04-01,-0.17346087864766274,0.09240755719369496,0.09658048172866411,0.08675495815356978,-0.16328786357651406,-0.10308303973877248,-0.16408878488702044
2019-07-01,0.19681963285536544,0.14041604846550373,0.136769325987366,0.1382072345046434,0.06006760379736235,-0.02388634997276308,0.6483934956374778
2019-10-01,-0.3399873904016048,0.14856276627199694,0.18363218132088308,0.13686300260290027,-0.17760303408253383,-0.006609808068290507,-0.055142282356648864
2020-01-01,-0.4473160290302742,0.15831474764542283,0.16875150833592212,0.15659994444729816,0.0012908715144456012,-0.014589386947836045,0.02305165596497849
2020-04-01,-1.1498671127803506,-0.05640760748177692,-0.012722679305960289,0.18066445631769068,-0.015878422425073285,-0.11075095230975224,-1.1649623179852227
2020-07-01,-0.8303483091584571,-0.24722736116199384,-0.2386966626843345,0.2330457998496995,-0.24194895149599951,0.13887869952573237,-1.1862967851253532
2020-10-01,0.1300600783484952,-0.09382186795313763,0.00648196659322605,0.12165050542719796,-0.15187562311148406,0.12852709012895455,0.1410221494332521
2021-01-01,0.25858637396984263,-0.029121887424527794,0.04208322837225551,0.048616546693143206,-0.08661007688427493,0.20427404577266445,0.4378282304991031
2021-04-01,0.46900638550264845,-0.006345315070845007,0.091251631326404,0.011142908906773663,-0.06484826219094762,0.08405840806927406,0.5842657565433076
