date,weighted_z_1,weighted_z_2,weighted_z_3,weighted_z_4,weighted_z_5,weighted_z_6,weighted_z_7,total_weighted_z
2022-04-01,0.10963959663743146,0.11393521317004843,0.10591598872891196,0.11125287427181557,0.07383692580102139,-0.08148535774003293,0.17357758164130888,0.6066728225105047
2022-07-01,-0.4227679657907995,0.1308819006287909,0.11425987711544779,0.12152621278841114,0.10964830310982839,-0.053612205086794554,0.1656287064086956,0.16556482917357973
2022-10-01,-0.9579505863609794,0.11893462366830129,0.091356579283763,0.09694868588340805,0.0938288031058603,0.0027910584606985573,0.1514733296998969,-0.4026175062590513
2023-01-01,-0.9003693199071359,0.10704463306785258,0.0776943943932846,0.08083997442962464,0.044349167356643966,0.11549507331273576,0.14943446288651951,-0.32551161446047483
2023-04-01,-0.7809041523413772,0.08719750573844642,0.05144219415579722,0.05769860582074822,0.0359857357716163,0.16321310784189186,0.15051816134799775,-0.23484884166487946
2023-07-01,-0.6693724916761062,0.06828683860125437,0.038416633355865495,0.024552319538719294,0.024262268719430522,0.15211191062401286,0.1522735989684407,-0.209468921868383
2023-10-01,-0.5140323182321768,0.04884651503129492,0.05563876804007285,0.051555589467911764,-0.01813853949489618,0.13941304252478307,0.11957135106261664,-0.1171455916003937
2024-01-01,-0.3754780157973498,0.028105799345100563,0.06474475908067459,0.011185252513624368,-0.10755562491305233,0.1301657871144677,0.11046050779057087,-0.13837153486596404
2024-04-01,-0.22534957230967,0.003638066280566701,-0.15896394497021707,-0.05118431015038014,-0.11759028469148244,0.12429615190295815,0.11161539065616025,-0.31353850328206456
2024-07-01,0.11085105585382393,-0.06173275222507359,-0.07768796614140647,0.06433613071037816,-0.03653860367913461,0.12134726788129616,0.10842882586472598,0.22900395826460956
2024-10-01,-0.14055185677072127,-0.1494164955775641,0.04626652576885727,0.0972380037821956,-0.07147938488972408,0.12072718310864451,0.08717519207032344,-0.010040832507988609
2025-01-01,-0.00863055030383984,-0.16845739593202727,0.04468030246121864,0.0719304197095545,-0.13295537878135347,0.12120272080745803,0.07854823259838906,0.0063183505593996415
2025-04-01,0.9679840298584845,-0.12277756634173842,0.15173240113435435,0.13557900198847875,0.1073047874231551,0.11948916625506563,0.057254677305794796,1.4165664976235948
2025-07-01,0.2699842877217972,-0.1059300712459741,0.16542735452262627,0.11425562825780841,0.16239494022812895,0.11721899509282559,0.025338522454663878,0.7486896570318762
