,1989,,1992,,1995,,1998,,2001,,2004,,2007,,2010,,2013,,2016,,2019,,2022,
,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%
TRY,,,,,,,,,0.434016331,0.03502,2.042260754,0.10559,5.94032644,0.1787,29.28363995,0.7371,70.66313072,1.31919,72.81160629,1.43714,71.21823153,1.08218,27.37908842,0.36476
HUF,,,,,,,0.557095238,0.03649,0.198436458,0.01601,3.708429911,0.19173,8.945301043,0.26909,17.15416821,0.43179,22.69127663,0.42362,15.1442164,0.29891,27.0182461,0.41055,25.97230582,0.34602
CLP,,,,,,,1.212428571,0.07942,2.2819,0.18413,2.343331111,0.12116,3.535667689,0.10636,6.510420662,0.16387,15.90345206,0.2969,12.45148683,0.24577,19.38783938,0.2946,24.40286156,0.32511
SAR,,,1.19465,0.14618,...,,1.234818181,0.08089,0.840090909,0.06779,0.68906,0.03563,1.887092655,0.05677,3.217828288,0.081,5.415554032,0.1011,15.1492067,0.29901,12.20278071,0.18542,18.26381749,0.24332
PHP,,,,,,,0.407975,0.02673,0.504894482,0.04074,0.773576668,0.04,3.507662939,0.10552,6.707047479,0.16882,7.791441989,0.14546,7.041213396,0.13898,18.80848819,0.2858,17.86686132,0.23803
MYR,,,,,,,0.579475,0.03796,0.922916666,0.07447,0.999229166,0.05166,4.429260534,0.13324,10.93587276,0.27527,21.28310191,0.39733,17.96093035,0.35451,10.2981478,0.15648,14.00449264,0.18658
COP,,,,,,,,,0.373526315,0.03014,0.685266415,0.03543,1.73089721,0.05207,3.967996728,0.09988,5.829409292,0.10883,7.898052818,0.15589,12.02288881,0.18269,13.83555374,0.18433
RUB,,,,,,,4.645436363,0.30431,4.281592855,0.34548,12.21413627,0.6315,24.90807846,0.74929,35.83776715,0.90208,85.5550937,1.5972,58.07160039,1.14621,72.16830984,1.09661,13.51413981,0.18004
RON,,,,,,,,,,,,,1.644530018,0.04947,2.906246837,0.07315,6.607776225,0.12336,4.818961962,0.09512,6.476055659,0.0984,8.730200494,0.11631
PEN,,,,,,,,,0.202789473,0.01636,0.25282225,0.01307,0.665122024,0.02001,1.20075648,0.03022,3.206384473,0.05986,3.872410281,0.07643,5.110752526,0.07766,7.043097568,0.09383
BHD,0.056743406,0.01052,0.04395,0.00538,0.0527882,0.00447,0.020285,0.00133,0.0955,0.00771,0.030881214,0.0016,0.070223176,0.00211,0.210973641,0.00531,0.286351116,0.00535,0.370791849,0.00732,2.158582613,0.0328,2.783017812,0.03708
BGN,,,,,,,,,,,,,0.233560786,0.00703,0.534422365,0.01345,1.452238885,0.02711,1.264927103,0.02497,1.946903957,0.02958,1.935255605,0.02578
ARS,,,,,,,2.13061,0.13957,...,,0.683720752,0.03535,1.11036683,0.0334,1.604041432,0.04038,1.497040021,0.02795,1.498027174,0.02957,3.927014643,0.05967,1.088296707,0.0145
DEM,140.832494,26.11675,323.2777928,39.55821,429.7021404,36.35529,464.8395857,30.45011,,,,,,,,,,,,,,,,
FRF,8.856909375,1.64247,31.75746844,3.88603,94.39678197,7.98651,75.86619229,4.96974,,,,,,,,,,,,,,,,
ITL,4.008612236,0.74338,9.581609422,1.17246,14.40869444,1.21906,16.49383333,1.08046,,,,,,,,,,,,,,,,
NLG,5.6085525,1.04008,7.518429609,0.92,8.414124999,0.71188,14.25763158,0.93397,,,,,,,,,,,,,,,,
BEF,2.613333333,0.48463,3.256992368,0.39855,7.340055555,0.62101,9.236465,0.60505,,,,,,,,,,,,,,,,
ESP,2.581088067,0.47865,6.121838377,0.7491,8.799794117,0.74451,8.928631578,0.58489,,,,,,,,,,,,,,,,
GRD,0.130827,0.02426,0.55470775,0.06788,1.418892389,0.12005,4.453205,0.29171,,,,,,,,,,,,,,,,
IEP,0.329569418,0.06112,0.422843421,0.05174,0.858066944,0.0726,2.434325,0.15946,,,,,,,,,,,,,,,,
ATS,,,0.8183122,0.10013,2.621716015,0.22181,2.262335,0.1482,,,,,,,,,,,,,,,,
PTE,,,0.603225563,0.07381,1.271916666,0.10761,2.054214285,0.13456,,,,,,,,,,,,,,,,
FIM,1.281464673,0.23764,3.542815789,0.43352,1.466281111,0.12406,1.76405,0.11556,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,
Total,539.242118,200,817.2204497,200,1181.95211,200,1526.561432,200,1239.310007,200,1934.159262,200,3324.237212,200,3972.810506,200,5356.569805,200,5066.41403,200,6581.023816,200,7505.991807,200
